anio_mundial,nombre_grupo,fase
1930,Grupo 1,primera ronda
1930,Grupo 2,primera ronda
1930,Grupo 3,primera ronda
1930,Grupo 4,primera ronda
1950,Grupo 1,primera ronda
1950,Grupo 2,primera ronda
1950,Grupo 3,primera ronda
1950,Grupo 4,primera ronda
1950,Grupo Final,ronda final
1954,Grupo 1,primera ronda
1954,Grupo 2,primera ronda
1954,Grupo 3,primera ronda
1954,Grupo 4,primera ronda
1958,Grupo 1,primera ronda
1958,Grupo 2,primera ronda
1958,Grupo 3,primera ronda
1958,Grupo 4,primera ronda
1962,Grupo 1,primera ronda
1962,Grupo 2,primera ronda
1962,Grupo 3,primera ronda
1962,Grupo 4,primera ronda
1966,Grupo 1,primera ronda
1966,Grupo 2,primera ronda
1966,Grupo 3,primera ronda
1966,Grupo 4,primera ronda
1970,Grupo 1,primera ronda
1970,Grupo 2,primera ronda
1970,Grupo 3,primera ronda
1970,Grupo 4,primera ronda
1974,Grupo 1,primera ronda
1974,Grupo 2,primera ronda
1974,Grupo 3,primera ronda
1974,Grupo 4,primera ronda
1974,Grupo A,segunda ronda
1974,Grupo B,segunda ronda
1978,Grupo 1,primera ronda
1978,Grupo 2,primera ronda
1978,Grupo 3,primera ronda
1978,Grupo 4,primera ronda
1978,Grupo A,segunda ronda
1978,Grupo B,segunda ronda
1982,Grupo 1,segunda ronda
1982,Grupo 2,segunda ronda
1982,Grupo 3,segunda ronda
1982,Grupo 4,segunda ronda
1982,Grupo A,primera ronda
1982,Grupo B,primera ronda
1982,Grupo C,primera ronda
1982,Grupo D,primera ronda
1982,Grupo E,primera ronda
1982,Grupo F,primera ronda
1986,Grupo A,primera ronda
1986,Grupo B,primera ronda
1986,Grupo C,primera ronda
1986,Grupo D,primera ronda
1986,Grupo E,primera ronda
1986,Grupo F,primera ronda
1990,Grupo A,primera ronda
1990,Grupo B,primera ronda
1990,Grupo C,primera ronda
1990,Grupo D,primera ronda
1990,Grupo E,primera ronda
1990,Grupo F,primera ronda
1994,Grupo A,primera ronda
1994,Grupo B,primera ronda
1994,Grupo C,primera ronda
1994,Grupo D,primera ronda
1994,Grupo E,primera ronda
1994,Grupo F,primera ronda
1998,Grupo A,primera ronda
1998,Grupo B,primera ronda
1998,Grupo C,primera ronda
1998,Grupo D,primera ronda
1998,Grupo E,primera ronda
1998,Grupo F,primera ronda
1998,Grupo G,primera ronda
1998,Grupo H,primera ronda
2002,Grupo A,primera ronda
2002,Grupo B,primera ronda
2002,Grupo C,primera ronda
2002,Grupo D,primera ronda
2002,Grupo E,primera ronda
2002,Grupo F,primera ronda
2002,Grupo G,primera ronda
2002,Grupo H,primera ronda
2006,Grupo A,primera ronda
2006,Grupo B,primera ronda
2006,Grupo C,primera ronda
2006,Grupo D,primera ronda
2006,Grupo E,primera ronda
2006,Grupo F,primera ronda
2006,Grupo G,primera ronda
2006,Grupo H,primera ronda
2010,Grupo A,primera ronda
2010,Grupo B,primera ronda
2010,Grupo C,primera ronda
2010,Grupo D,primera ronda
2010,Grupo E,primera ronda
2010,Grupo F,primera ronda
2010,Grupo G,primera ronda
2010,Grupo H,primera ronda
2014,Grupo A,primera ronda
2014,Grupo B,primera ronda
2014,Grupo C,primera ronda
2014,Grupo D,primera ronda
2014,Grupo E,primera ronda
2014,Grupo F,primera ronda
2014,Grupo G,primera ronda
2014,Grupo H,primera ronda
2018,Grupo A,primera ronda
2018,Grupo B,primera ronda
2018,Grupo C,primera ronda
2018,Grupo D,primera ronda
2018,Grupo E,primera ronda
2018,Grupo F,primera ronda
2018,Grupo G,primera ronda
2018,Grupo H,primera ronda
2022,Grupo A,primera ronda
2022,Grupo B,primera ronda
2022,Grupo C,primera ronda
2022,Grupo D,primera ronda
2022,Grupo E,primera ronda
2022,Grupo F,primera ronda
2022,Grupo G,primera ronda
2022,Grupo H,primera ronda

