anio,fecha_inicio,fecha_fin,num_equipos,num_partidos,total_goles
1930,1930-07-13,1930-07-30,13,18,70
1934,1934-05-27,1934-06-10,16,17,70
1938,1938-06-04,1938-06-19,16,18,84
1950,1950-06-24,1950-07-16,13,22,88
1954,1954-06-16,1954-07-04,16,26,140
1958,1958-06-08,1958-06-29,16,35,126
1962,1962-05-30,1962-06-17,16,32,89
1966,1966-07-11,1966-07-30,16,32,89
1970,1970-05-31,1970-06-21,16,32,95
1974,1974-06-13,1974-07-07,16,38,97
1978,1978-06-01,1978-06-25,16,38,102
1982,1982-06-13,1982-07-11,24,52,146
1986,1986-05-31,1986-06-29,24,52,132
1990,1990-06-08,1990-07-08,24,52,115
1994,1994-06-17,1994-07-17,24,52,141
1998,1998-06-10,1998-07-12,32,64,171
2002,2002-05-31,2002-06-30,32,64,161
2006,2006-06-09,2006-07-09,32,64,147
2010,2010-06-11,2010-07-11,32,64,145
2014,2014-06-12,2014-07-13,32,64,171
2018,2018-06-14,2018-07-15,32,64,169
2022,2022-11-20,2022-12-18,32,64,172
